"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"625","tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",2,"","","",0,2023-12-11 03:00:00
"626","tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","",1,2023-11-08 06:00:00
"627","comente","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-30 11:00:00
"628","gente boa","estacionamento","",1,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-02 20:00:00
"629","tem atencao","acessibilidade","A limpeza e organização do local foram impecáveis.",4,"","","",1,2023-11-25 05:00:00
"630","gente boa","instagramavel","",4,"","","",0,2023-11-05 21:00:00
"631","tem atencao","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-12-22 17:00:00
"632","tem atencao","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",2,"","facil acesso","",0,2023-12-03 05:00:00
"633","comente","temperatura","",2,"","","",0,2023-12-29 14:00:00
"634","gente boa","estacionamento","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-17 13:00:00
"635","tem atencao","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Gostaria de ver opções de pratos veganos no menu.","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-12-05 16:00:00
"636","organização","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-24 15:00:00
"637","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-16 20:00:00
"638","gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","lugar arrumado","",0,2023-11-11 23:00:00
"639","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-29 06:00:00
"640","comente","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","",0,2023-11-01 05:00:00
"641","organização","instagramavel","O sorriso e a simpatia dos funcionários.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","",1,2023-11-18 06:00:00
"642","organização","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",4,"Mais variedade de cervejas artesanais.","facil acesso","",1,2023-11-22 23:00:00
"643","habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","o milkshake, eu viria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-22 04:00:00
"644","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-12 02:00:00
"645","comente","temperatura","A limpeza e organização do local foram impecáveis.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-19
